customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_t_v,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_segment,value_segment,churn_label,revenue_lost
7590-VHVEG,Female,0,True,False,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,29.85,29.85,False,Nouveau,Petit compte,Fidèle,0.0
5575-GNVDE,Male,0,False,False,34,True,No,DSL,Yes,No,Yes,No,No,No,One year,False,Mailed check,56.95,1889.5,False,Intermédiaire,Compte moyen,Fidèle,0.0
3668-QPYBK,Male,0,False,False,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Mailed check,53.85,108.15,True,Nouveau,Compte moyen,Churner,646.2
7795-CFOCW,Male,0,False,False,45,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,False,Bank transfer (automatic),42.3,1840.75,False,Fidèle,Compte moyen,Fidèle,0.0
9237-HQITU,Female,0,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.7,151.65,True,Nouveau,Grand compte,Churner,848.4000000000001
9305-CDSKC,Female,0,False,False,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.65,820.5,True,Nouveau,Grand compte,Churner,1195.8000000000002
1452-KIOVK,Male,0,False,True,22,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Credit card (automatic),89.1,1949.4,False,Intermédiaire,Grand compte,Fidèle,0.0
6713-OKOMC,Female,0,False,False,10,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,29.75,301.9,False,Nouveau,Petit compte,Fidèle,0.0
7892-POOKP,Female,0,True,False,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.8,3046.05,True,Intermédiaire,Grand compte,Churner,1257.6
6388-TABGU,Male,0,False,True,62,True,No,DSL,Yes,Yes,No,No,No,No,One year,False,Bank transfer (automatic),56.15,3487.95,False,Très fidèle,Compte moyen,Fidèle,0.0
9763-GRSKD,Male,0,True,True,13,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,49.95,587.45,False,Intermédiaire,Compte moyen,Fidèle,0.0
7469-LKBCI,Male,0,False,False,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),18.95,326.8,False,Intermédiaire,Petit compte,Fidèle,0.0
8091-TTVAX,Male,0,True,False,58,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,False,Credit card (automatic),100.35,5681.1,False,Fidèle,Grand compte,Fidèle,0.0
0280-XJGEX,Male,0,False,False,49,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,True,Fidèle,Grand compte,Churner,1244.4
5129-JLPIS,Male,0,False,False,25,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,105.5,2686.05,False,Intermédiaire,Grand compte,Fidèle,0.0
3655-SNQYZ,Female,0,True,True,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),113.25,7895.15,False,Très fidèle,Grand compte,Fidèle,0.0
8191-XWSZG,Female,0,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.65,1022.95,False,Fidèle,Petit compte,Fidèle,0.0
9959-WOFKT,Male,0,False,True,71,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),106.7,7382.25,False,Très fidèle,Grand compte,Fidèle,0.0
4190-MFLUW,Female,0,True,True,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),55.2,528.35,True,Nouveau,Compte moyen,Churner,662.4000000000001
4183-MYFRB,Female,0,False,False,21,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,90.05,1862.9,False,Intermédiaire,Grand compte,Fidèle,0.0
8779-QRDMV,Male,1,False,False,1,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.65,39.65,True,Nouveau,Compte moyen,Churner,475.79999999999995
1680-VDCWW,Male,0,True,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.8,202.25,False,Nouveau,Petit compte,Fidèle,0.0
1066-JKSGK,Male,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.15,20.15,True,Nouveau,Petit compte,Churner,241.79999999999998
3638-WEABW,Female,0,True,False,58,True,Yes,DSL,No,Yes,No,Yes,No,No,Two year,True,Credit card (automatic),59.9,3505.1,False,Fidèle,Compte moyen,Fidèle,0.0
6322-HRPFA,Male,0,True,True,49,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.6,2970.3,False,Fidèle,Compte moyen,Fidèle,0.0
6865-JZNKO,Female,0,False,False,30,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,False,Intermédiaire,Compte moyen,Fidèle,0.0
6467-CHFZW,Male,0,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.35,4749.15,True,Fidèle,Grand compte,Churner,1192.1999999999998
8665-UTDHZ,Male,0,True,True,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.2,30.2,True,Nouveau,Petit compte,Churner,362.4
5248-YGIJN,Male,0,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),90.25,6369.45,False,Très fidèle,Grand compte,Fidèle,0.0
8773-HHUOZ,Female,0,False,True,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.7,1093.1,True,Intermédiaire,Compte moyen,Churner,776.4000000000001
3841-NFECX,Female,1,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Credit card (automatic),96.35,6766.95,False,Très fidèle,Grand compte,Fidèle,0.0
4929-XIHVW,Male,1,True,False,2,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),95.5,181.65,False,Nouveau,Grand compte,Fidèle,0.0
6827-IEAUQ,Female,0,True,True,27,True,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Mailed check,66.15,1874.45,False,Intermédiaire,Grand compte,Fidèle,0.0
7310-EGVHZ,Male,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.2,20.2,False,Nouveau,Petit compte,Fidèle,0.0
3413-BMNZE,Male,1,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False,Nouveau,Compte moyen,Fidèle,0.0
6234-RAAPL,Female,0,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,False,Bank transfer (automatic),99.9,7251.7,False,Très fidèle,Grand compte,Fidèle,0.0
6047-YHPVI,Male,0,False,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,316.9,True,Nouveau,Grand compte,Churner,836.4000000000001
6572-ADKRS,Female,0,False,False,46,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),74.8,3548.3,False,Fidèle,Grand compte,Fidèle,0.0
5380-WJKOV,Male,0,False,False,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.35,3549.25,True,Intermédiaire,Grand compte,Churner,1276.1999999999998
8168-UQWWF,Female,0,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,True,Nouveau,Grand compte,Churner,1174.1999999999998
8865-TNMNX,Male,0,True,True,10,True,No,DSL,No,Yes,No,No,No,No,One year,False,Mailed check,49.55,475.7,False,Nouveau,Compte moyen,Fidèle,0.0
9489-DEDVP,Female,0,True,True,70,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,True,Credit card (automatic),69.2,4872.35,False,Très fidèle,Grand compte,Fidèle,0.0
9867-JCZSP,Female,0,True,True,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.75,418.25,False,Intermédiaire,Petit compte,Fidèle,0.0
4671-VJLCL,Female,0,False,False,63,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card (automatic),79.85,4861.45,False,Très fidèle,Grand compte,Fidèle,0.0
4080-IIARD,Female,0,True,False,13,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,76.2,981.45,False,Intermédiaire,Grand compte,Fidèle,0.0
3714-NTNFO,Female,0,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.7,False,Fidèle,Grand compte,Fidèle,0.0
5948-UJZLF,Male,0,False,False,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,49.25,97.0,False,Nouveau,Compte moyen,Fidèle,0.0
7760-OYPDY,Female,0,False,False,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.65,144.15,True,Nouveau,Grand compte,Churner,967.8000000000001
7639-LIAYI,Male,0,False,False,52,True,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.75,4217.8,False,Fidèle,Grand compte,Fidèle,0.0
2954-PIBKO,Female,0,True,True,69,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card (automatic),64.15,4254.1,False,Très fidèle,Compte moyen,Fidèle,0.0
8012-SOUDQ,Female,1,False,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,90.25,3838.75,False,Fidèle,Grand compte,Fidèle,0.0
9420-LOJKX,Female,0,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.1,1426.4,True,Intermédiaire,Grand compte,Churner,1189.1999999999998
6575-SUVOI,Female,1,True,False,25,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),69.5,1752.65,False,Intermédiaire,Grand compte,Fidèle,0.0
7495-OOKFY,Female,1,True,False,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),80.65,633.3,True,Nouveau,Grand compte,Churner,967.8000000000001
4667-QONEA,Female,1,True,True,60,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),74.85,4456.35,False,Fidèle,Grand compte,Fidèle,0.0
1658-BYGOY,Male,1,False,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,1752.55,True,Intermédiaire,Grand compte,Churner,1145.4
8769-KKTPH,Female,0,True,True,63,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,True,Credit card (automatic),99.65,6311.2,False,Très fidèle,Grand compte,Fidèle,0.0
5067-XJQFU,Male,1,True,True,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,108.45,7076.35,False,Très fidèle,Grand compte,Fidèle,0.0
3957-SQXML,Female,0,True,True,34,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.95,894.3,False,Intermédiaire,Petit compte,Fidèle,0.0
5954-BDFSG,Female,0,False,False,72,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),107.5,7853.7,False,Très fidèle,Grand compte,Fidèle,0.0
0434-CSFON,Female,0,True,False,47,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.5,4707.1,False,Fidèle,Grand compte,Fidèle,0.0
1215-FIGMP,Male,0,False,False,60,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.9,5450.7,False,Fidèle,Grand compte,Fidèle,0.0
0526-SXDJP,Male,0,True,False,72,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Bank transfer (automatic),42.1,2962.0,False,Très fidèle,Compte moyen,Fidèle,0.0
0557-ASKVU,Female,0,True,True,18,True,No,DSL,No,No,Yes,Yes,No,No,One year,True,Credit card (automatic),54.4,957.1,False,Intermédiaire,Compte moyen,Fidèle,0.0
5698-BQJOH,Female,0,False,False,9,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.4,857.25,True,Nouveau,Grand compte,Churner,1132.8000000000002
5122-CYFXA,Female,0,False,False,3,True,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,75.3,244.1,False,Nouveau,Grand compte,Fidèle,0.0
8627-ZYGSZ,Male,0,True,False,47,True,Yes,Fiber optic,No,Yes,No,No,No,No,One year,True,Electronic check,78.9,3650.35,False,Fidèle,Grand compte,Fidèle,0.0
3410-YOQBQ,Female,0,False,False,31,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,79.2,2497.2,False,Intermédiaire,Grand compte,Fidèle,0.0
3170-NMYVV,Female,0,True,True,50,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.15,930.9,False,Fidèle,Petit compte,Fidèle,0.0
7410-OIEDU,Male,0,False,False,10,True,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Mailed check,79.85,887.35,False,Nouveau,Grand compte,Fidèle,0.0
2273-QCKXA,Male,0,False,False,1,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,49.05,49.05,False,Nouveau,Compte moyen,Fidèle,0.0
0731-EBJQB,Female,0,True,True,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Electronic check,20.4,1090.65,False,Fidèle,Petit compte,Fidèle,0.0
1891-QRQSA,Male,1,True,True,64,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),111.6,7099.0,False,Très fidèle,Grand compte,Fidèle,0.0
8028-PNXHQ,Male,0,True,True,62,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),24.25,1424.6,False,Très fidèle,Petit compte,Fidèle,0.0
5630-AHZIL,Female,0,False,True,3,True,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),64.5,177.4,False,Nouveau,Compte moyen,Fidèle,0.0
2673-CXQEU,Female,1,False,False,56,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,False,Electronic check,110.5,6139.5,False,Fidèle,Grand compte,Fidèle,0.0
6416-JNVRK,Female,0,False,False,46,True,No,DSL,No,No,No,No,No,Yes,One year,False,Credit card (automatic),55.65,2688.85,False,Fidèle,Compte moyen,Fidèle,0.0
5590-ZSKRV,Female,0,True,True,8,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,False,Mailed check,54.65,482.25,False,Nouveau,Compte moyen,Fidèle,0.0
0191-ZHSKZ,Male,1,False,False,30,True,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,74.75,2111.3,False,Intermédiaire,Grand compte,Fidèle,0.0
3887-PBQAO,Female,0,True,True,45,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),25.9,1216.6,False,Fidèle,Petit compte,Fidèle,0.0
5919-TMRGD,Female,0,False,True,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.35,79.35,True,Nouveau,Grand compte,Churner,952.1999999999999
8108-UXRQN,Female,0,True,True,11,False,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,50.55,565.35,False,Nouveau,Compte moyen,Fidèle,0.0
9191-MYQKX,Female,0,True,False,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),75.15,496.9,True,Nouveau,Grand compte,Churner,901.8000000000001
9919-YLNNG,Female,0,False,False,42,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.8,4327.5,False,Fidèle,Grand compte,Fidèle,0.0
0318-ZOPWS,Female,0,True,False,49,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),20.15,973.35,False,Fidèle,Petit compte,Fidèle,0.0
4445-ZJNMU,Male,0,False,False,9,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.3,918.75,False,Nouveau,Grand compte,Fidèle,0.0
4808-YNLEU,Female,0,True,False,35,True,No,DSL,Yes,No,No,No,Yes,No,One year,True,Bank transfer (automatic),62.15,2215.45,False,Intermédiaire,Compte moyen,Fidèle,0.0
1862-QRWPE,Female,0,True,True,48,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.65,1057.0,False,Fidèle,Petit compte,Fidèle,0.0
2876-GZYZC,Female,0,False,False,13,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.95,1215.65,False,Intermédiaire,Grand compte,Fidèle,0.0
2796-NNUFI,Female,0,True,True,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.95,927.1,False,Fidèle,Petit compte,Fidèle,0.0
3016-KSVCP,Male,0,True,False,29,False,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,33.75,1009.25,False,Intermédiaire,Petit compte,Fidèle,0.0
4767-HZZHQ,Male,0,True,True,30,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),82.05,2570.2,False,Intermédiaire,Grand compte,Fidèle,0.0
2424-WVHPL,Male,1,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,False,Electronic check,74.7,74.7,False,Nouveau,Grand compte,Fidèle,0.0
7233-PAHHL,Male,0,True,True,66,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.0,5714.25,False,Très fidèle,Grand compte,Fidèle,0.0
6067-NGCEU,Female,0,False,False,65,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),111.05,7107.0,False,Très fidèle,Grand compte,Fidèle,0.0
9848-JQJTX,Male,0,False,False,72,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),100.9,7459.05,False,Très fidèle,Grand compte,Fidèle,0.0
8637-XJIVR,Female,0,False,False,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.95,927.35,True,Nouveau,Grand compte,Churner,947.4000000000001
9803-FTJCG,Male,0,True,True,71,True,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,True,Credit card (automatic),66.85,4748.7,False,Très fidèle,Grand compte,Fidèle,0.0
0278-YXOOG,Male,0,False,False,5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.05,113.85,True,Nouveau,Petit compte,Churner,252.60000000000002
3212-KXOCR,Male,0,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),21.0,1107.2,False,Fidèle,Petit compte,Fidèle,0.0
4598-XLKNJ,Female,1,True,False,25,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,2514.5,True,Intermédiaire,Grand compte,Churner,1182.0
6380-ARCEH,Male,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.2,20.2,False,Nouveau,Petit compte,Fidèle,0.0
3679-XASPY,Female,0,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.45,19.45,False,Nouveau,Petit compte,Fidèle,0.0
7123-WQUHX,Male,0,False,False,38,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,False,Bank transfer (automatic),95.0,3605.6,False,Fidèle,Grand compte,Fidèle,0.0
5386-THSLQ,Female,1,True,False,66,False,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,False,Bank transfer (automatic),45.55,3027.25,False,Très fidèle,Compte moyen,Fidèle,0.0
3192-NQECA,Male,0,True,False,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),110.0,7611.85,True,Très fidèle,Grand compte,Churner,1320.0
6180-YBIQI,Male,0,False,False,5,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,24.3,100.2,False,Nouveau,Petit compte,Fidèle,0.0
6728-DKUCO,Female,0,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,104.15,7303.05,False,Très fidèle,Grand compte,Fidèle,0.0
9750-BOOHV,Female,0,False,False,32,False,No phone service,DSL,Yes,No,No,No,No,No,One year,False,Mailed check,30.15,927.65,False,Intermédiaire,Petit compte,Fidèle,0.0
8597-CWYHH,Male,0,False,False,43,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,False,Mailed check,94.35,3921.3,False,Fidèle,Grand compte,Fidèle,0.0
2848-YXSMW,Male,0,True,True,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,1363.25,False,Très fidèle,Petit compte,Fidèle,0.0
0486-HECZI,Male,0,True,False,55,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,96.75,5238.9,True,Fidèle,Grand compte,Churner,1161.0
4549-ZDQYY,Female,0,False,False,52,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,False,Credit card (automatic),57.95,3042.25,False,Fidèle,Compte moyen,Fidèle,0.0
5712-AHQNN,Female,0,False,False,43,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,91.65,3954.1,False,Fidèle,Grand compte,Fidèle,0.0
4846-WHAFZ,Female,1,True,False,37,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.5,2868.15,True,Fidèle,Grand compte,Churner,918.0
5256-SKJGO,Female,0,True,True,64,False,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,True,Electronic check,54.6,3423.5,False,Très fidèle,Compte moyen,Fidèle,0.0
3071-VBYPO,Male,0,True,True,3,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,89.85,248.4,False,Nouveau,Grand compte,Fidèle,0.0
9560-BBZXK,Female,0,False,False,36,False,No phone service,DSL,Yes,No,No,No,No,No,Two year,False,Bank transfer (automatic),31.05,1126.35,False,Intermédiaire,Petit compte,Fidèle,0.0
5299-RULOA,Female,0,True,True,10,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.25,1064.65,True,Nouveau,Grand compte,Churner,1203.0
